基金代码,基金类型,管理费率,托管费率,最新资产规模,披露日,2015_收益,2016_收益,2017_收益,2018_收益,2019_收益,2020_收益,2021_收益,2022_收益,2023_收益,2024_收益,2015_规模,2016_规模,2017_规模,2018_规模,2019_规模,2020_规模,2021_规模,2022_规模,2023_规模,2024_规模
000001,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,26.00亿元,缺失,38.2,3.8,13.4,-8.2,10.5,35.9,20.9,0.30000000000000004,-21.9,-17.8,,,,,,,,,,
000002,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,26.00亿元,缺失,,,,,,,,,,,,,,,,,,,,
000003,债券型-混合二级发行日期,0.75%（每年）,0.20%（每年）,0.67亿元,缺失,5.3,-19.0,-23.3,-36.7,-18.4,-6.8,-6.6,-18.1,-19.7,-16.7,,,,,,,,,,
000004,债券型-混合二级发行日期,0.75%（每年）,0.20%（每年）,0.87亿元,缺失,6.4,-18.5,-23.1,-36.7,-18.3,-7.1,-7.3,-19.1,-21.0,-18.4,,,,,,,,,,
000005,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,3.57亿元,缺失,3.4,0.30000000000000004,0.2,3.8,2.8,1.2,4.87,1.68,2.04,3.5,,,,,,,,,,
000006,混合型-偏股发行日期,1.20%（每年）,0.10%（每年）,7.90亿元,缺失,,,,,21.2,98.7,130.87,87.49,106.56,92.09,,,,,,,,,,
000008,指数型-股票发行日期,0.15%（每年）,0.05%（每年）,15.13亿元,缺失,98.31,70.01,71.92,13.25,42.34,72.75,101.73,66.21,57.06,66.8,,,,,,,,,,
000009,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,79.20亿元,缺失,,,,,,,,,,,,,,,,,,,,
000010,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,4.77亿元,缺失,,,,,,,,,,,,,,,,,,,,
000011,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,35.57亿元,缺失,,,,,,,,,,,,,,,,,,,,
000012,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,35.57亿元,缺失,,,,,,,,,,,,,,,,,,,,
000013,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,15.71亿元,缺失,,,,,,,,,,,,,,,,,,,,
